Data,Post,Curtidas,Comentários,Alcance
15:06:2023 16:45,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/353975845_941428117128753_7453424310255668047_n.webp?stp=dst-jpg&_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeHN17UA5z_f7O1EHh15-hbF1bp2Px2AqAXVunY_HYCoBXRg93lg_iVmyP47qPiIzgIZ08auAwL4kvjjGZLzboyg&_nc_ohc=A5k3ang2D9gAX8eBTD_&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCAQvuiTxMNIszpPWF_CLjQVrZ_-LmIvpzw4wEga6WwjA&oe=64C2F4D9,53,8,635
13:06:2023 11:03,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/353487283_1372169503348727_4355427200295083897_n.webp?stp=dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeF64TBWRQ8G_ks83obEASXwTUf5H8jSAexNR_kfyNIB7KeaKysOivmibyofMA13Qj1-cicUIN5VrFssq5NxanUA&_nc_ohc=H3o_lwykbVgAX-eRY5O&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCKCb8omBis0UErgMpj3KAHgCgEQM_-CuO_1WuS2Ih87w&oe=64C3EEBB,68,9,737
09:06:2023 16:02,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/352331526_1619771838542426_7855229930683046315_n.webp?stp=dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeG326VZtPil0KxEorDV3S7MVzxjCwt9a9ZXPGMLC31r1iacJ-mgZCsoGjgqrpT6kSnsqmCPfwkkLMLsnfNFfvb1&_nc_ohc=Levx4r38DKAAX_LgYv5&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfD-3uZEczFGHXF2oyTXuATNvytn_tFZeJyfGX3LgcbgnQ&oe=64C3C80E,45,4,569
02:06:2023 05:10,https://scontent-iad3-1.cdninstagram.com/o1/v/t16/f1/m82/D2450FFB4B892B445395AD8C15541CB5_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107&vs=179470945083661_2780519620&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9EMjQ1MEZGQjRCODkyQjQ0NTM5NUFEOEMxNTU0MUNCNV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0JScTdSUkZWeUdVb3BNQ0FFOE0xZ0l3RTJFZ2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmgva%2B8vmO5j8VAigCQzMsF0BBwIMSbpeNGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfB8_qC1g1Jgwy1JhIW3kS8OBrSxv7kh5CKAsCCXn3rRpg&oe=64C0B826&_nc_sid=1d576d&_nc_rid=15c85cf9e1,28,0,763
01:06:2023 16:36,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/350702364_173165815704768_4824862686364006_n.webp?stp=dst-jpg&_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFgf0MRgyKIzgXB8VgvxYMiLw6FDXn5VUQvDoUNeflVRHuHkTOp04u99dMy103WE5L_vROawWYqbAdDoeAdXikY&_nc_ohc=RCr2R4FNu_UAX_-fTc0&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfD3SjK3zVXBf-QFAD5ZzyVqbqkt6HomAyd4vJVArE36-g&oe=64C35BE8,48,8,615
30:05:2023 16:50,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/350235385_793778165410090_1925754612349679192_n.webp?stp=dst-jpg&_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGbyiBTIiXy_gAsrEQ457DutrGcFbYNsBO2sZwVtg2wE8uNd9-sMYZIpK4eCk8b3k1aS_WjMcsuAJhMRnwwoee-&_nc_ohc=SD7vQqPgODIAX-yrmpP&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDafrBE82WUD5nWzB_4e_-lksJPTMq1HrNkjl07PFsaWg&oe=64C35CD3,68,6,785
26:05:2023 17:06,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/349236275_796086068844065_3470532152007785115_n.webp?stp=dst-jpg&_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEA1ZPpDWRCevHpRmxgfyxmyT0EEW5xcenJPQQRbnFx6U1pj9gTHq5c4Ntf2-DBm01qg5InL9Ia0_DMF3WWz428&_nc_ohc=MNncnerqDRoAX-ADMdb&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAw6fVmDbi-j_avoxjM6qvvF3CzjsaI2PX42ixZ7o-cRg&oe=64C44AC4,86,9,1372
23:05:2023 16:34,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/348479745_571384335111209_7778833629256702184_n.webp?stp=dst-jpg&_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEo7xmi33kQOdSWE767UZe_9jNtjNmD7DX2M22M2YPsNfF36_Dk2_ooLwnxmef4dOkJPF_yde5hqAIvf4nuX4sP&_nc_ohc=_3oic-VkmwsAX9KUrh7&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAvz4n4Mk32av6vz8m8ly3YEgKXwPLAyNfdF2sc2s9BXw&oe=64C2F5AA,32,3,359
18:05:2023 13:38,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/347411105_939175747392556_6720022672530656035_n.webp?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFGBC8muJ7oftqDY6HaPEuFz7wJGI-W4enPvAkYj5bh6bL_XZp6eHz-dw5LXEQM55U8zVBxPzBhbhZiQ8J4QmgN&_nc_ohc=qGFMEmCT1xAAX8ZfWi-&_nc_oc=AQmP2lb-scWMluuH1xT4A_VK6fzV_A7vqa4qLMthrGUqJu2p0ZZbcF3zPM_c6X_E-Yg&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAVc3EYGN_f_lB0uH2asOZlTDu5n-BgaovkicSRqfNlxw&oe=64C3C14B,49,5,579
16:05:2023 13:52,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/346923501_1307400793219995_6281583789991845312_n.webp?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGDrtKnPqvCQTwfcIcwmCzGogqB8w15DP2iCoHzDXkM_SQUPBJvErmUPDG-HuhTEJ7YKFBk_FXPo2h8N5RBkgrN&_nc_ohc=UzBmilS6o1IAX-P-Vrh&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBuRVodqYOqIbpb0OIapYrqk2U6HRwnzavvZzwPJ2dMhQ&oe=64C31F34,77,8,581
